date_time,MON,DAY,YEAR,HR,MIN,TMZN,TMPF,RELH,SKNT,GUST,DRCT,QFLG,ALTI,WNUM,VSBY,CHC1,CHC2,CHC3,CIG,RMK,RAW,DWPF,wdate_time,eloc,end,icon,sloc,start,status,type
2013-01-01 06:30:00,1,1,2013,6,53,EST, 37.9,70.0,17.3,24.2,280.0,2.0,29.78,,10.0,1106.0,,,, AO2 SLP084  60000 T00331017 10044 20028 51002,KACK 011153Z 28015G21KT 10SM FEW110 03/M02 A2978,28.9,2013-01-01 06:53:00,Hyannis,8:45am,,Nantucket,6:30 am,On Time,Vehicle and Passenger
2013-01-01 08:00:00,1,1,2013,7,53,EST, 39.0,59.0,19.6,28.8,280.0,2.0,29.78,,10.0,1.0,,,, AO2 SLP085  T00391033,KACK 011253Z 28017G25KT 10SM CLR 04/M03 A2978,26.1,2013-01-01 07:53:00,Nantucket,9:00am,,Hyannis,8:00 am,On Time,High Speed Passenger Only
2013-01-01 09:15:00,1,1,2013,8,53,EST, 39.0,59.0,17.3,24.2,280.0,2.0,29.8,,10.0,1.0,,,, AO2 PK WND  29027/1333 SLP090 T00391033,KACK 011353Z 28015G21KT 10SM CLR 04/M03 A2980,26.1,2013-01-01 08:53:00,Nantucket,11:30am,,Hyannis,9:15 am,On Time,Vehicle and Passenger
2013-01-01 09:30:00,1,1,2013,9,53,EST, 39.9,55.0,21.9,27.6,280.0,2.0,29.79,,10.0,1.0,,,, AO2 PK WND  28027/1410 SLP089 T00441039 50005,KACK 011453Z 28019G24KT 10SM CLR 04/M04 A2979,25.0,2013-01-01 09:53:00,Hyannis,10:30am,,Nantucket,9:30 am,On Time,High Speed Passenger Only
2013-01-01 11:00:00,1,1,2013,10,53,EST, 39.9,55.0,17.3,28.8,280.0,2.0,29.79,,10.0,1206.0,,,, AO2 PK WND  29028/1504 SLP087 T00441039,KACK 011553Z 28015G25KT 10SM FEW120 04/M04 A2979,25.0,2013-01-01 10:53:00,Nantucket,12:00pm,,Hyannis,11:00 am,On Time,High Speed Passenger Only
2013-01-01 12:00:00,1,1,2013,11,53,EST, 39.9,55.0,23.0,28.8,290.0,2.0,29.76,,10.0,1.0,,,, AO2 PK WND  28027/1642 SLP078 T00441039,KACK 011653Z 29020G25KT 10SM CLR 04/M04 A2976,25.0,2013-01-01 11:53:00,Hyannis,2:15pm,,Nantucket,12:00 pm,On Time,Vehicle and Passenger
2013-01-01 12:30:00,1,1,2013,12,53,EST, 37.9,54.0,19.6,28.8,290.0,2.0,29.75,,10.0,1.0,,,, AO2 PK WND  29029/1718 SLP075 T00331050 10050 20033 58014,KACK 011753Z 29017G25KT 10SM CLR 03/M05 A2975,23.0,2013-01-01 12:53:00,Hyannis,1:30pm,,Nantucket,12:30 pm,On Time,High Speed Passenger Only
2013-01-01 13:55:00,1,1,2013,13,53,EST, 37.0,54.0,15.0,21.9,290.0,2.0,29.75,,10.0,1.0,,,, AO2 PK WND  29027/1756 SLP074 T00281056,KACK 011853Z 29013G19KT 10SM CLR 03/M06 A2975,21.9,2013-01-01 13:53:00,Nantucket,2:55pm,,Hyannis,1:55 pm,On Time,High Speed Passenger Only
2013-01-01 14:45:00,1,1,2013,14,53,EST, 37.0,54.0,11.5,21.9,300.0,2.0,29.75,,10.0,1.0,,,, AO2 SLP075  T00281056,KACK 011953Z 30010G19KT 10SM CLR 03/M06 A2975,21.9,2013-01-01 14:53:00,Nantucket,5:00pm,,Hyannis,2:45 pm,On Time,Vehicle and Passenger
2013-01-01 15:15:00,1,1,2013,14,53,EST, 37.0,54.0,11.5,21.9,300.0,2.0,29.75,,10.0,1.0,,,, AO2 SLP075  T00281056,KACK 011953Z 30010G19KT 10SM CLR 03/M06 A2975,21.9,2013-01-01 14:53:00,Hyannis,4:15pm,,Nantucket,3:15 pm,On Time,High Speed Passenger Only
2013-01-01 16:30:00,1,1,2013,16,53,EST, 35.1,52.0,16.1,23.0,290.0,2.0,29.79,,10.0,1.0,,,, AO2 SLP087  T00171072,KACK 012153Z 29014G20KT 10SM CLR 02/M07 A2979,19.0,2013-01-01 16:53:00,Nantucket,5:30pm,,Hyannis,4:30 pm,On Time,High Speed Passenger Only
2013-01-01 17:30:00,1,1,2013,17,53,EST, 34.0,54.0,18.4,25.3,310.0,2.0,29.8,,10.0,1.0,,,, AO2 SLP091  T00111072,KACK 012253Z 31016G22KT 10SM CLR 01/M07 A2980,19.0,2013-01-01 17:53:00,Hyannis,7:45pm,,Nantucket,5:30 pm,On Time,Vehicle and Passenger
2013-01-01 18:00:00,1,1,2013,17,53,EST, 34.0,54.0,18.4,25.3,310.0,2.0,29.8,,10.0,1.0,,,, AO2 SLP091  T00111072,KACK 012253Z 31016G22KT 10SM CLR 01/M07 A2980,19.0,2013-01-01 17:53:00,Hyannis,7:00pm,,Nantucket,6:00 pm,On Time,High Speed Passenger Only
