date_time,MON,DAY,YEAR,HR,MIN,TMZN,TMPF,RELH,SKNT,GUST,DRCT,QFLG,ALTI,WNUM,VSBY,CHC1,CHC2,CHC3,CIG,RMK,RAW,DWPF,wdate_time,eloc,end,icon,sloc,start,status,type
2011-01-01 06:30:00,1,1,2011,6,53,EST, 42.1,82.0,16.1,0.0,250.0,2.0,30.09,31.0,6.0,1.0,0.0,0.0,0.0, AO2 SLP191  T00560028 10056 20033 58001,KACK 011153Z 25014KT 6SM BR CLR 06/03 A3009,37.0,2011-01-01 06:53:00,Hyannis,8:45am,,Nantucket,6:30 am,On Time,Vehicle and Passenger
2011-01-01 08:00:00,1,1,2011,7,53,EST, 43.0,82.0,11.5,0.0,250.0,2.0,30.1,31.0,6.0,1.0,0.0,0.0,0.0, AO2 SLP192  T00610033,KACK 011253Z 25010KT 6SM BR CLR 06/03 A3010,37.9,2011-01-01 07:53:00,Nantucket,9:00am,,Hyannis,8:00 am,On Time,High Speed Passenger Only
2011-01-01 09:15:00,1,1,2011,8,53,EST, 45.0,80.0,13.8,0.0,250.0,2.0,30.11,31.0,6.0,906.0,0.0,0.0,0.0, AO2 SLP196  T00720039,KACK 011353Z 25012KT 6SM BR FEW090 07/04 A3011,39.0,2011-01-01 08:53:00,Nantucket,11:30am,,Hyannis,9:15 am,On Time,Vehicle and Passenger
2011-01-01 09:30:00,1,1,2011,9,53,EST, 46.9,71.0,15.0,25.3,260.0,2.0,30.13,0.0,7.0,1004.0,0.0,0.0,10000.0, AO2 SLP202  T00830033 53012,KACK 011453Z 26013G22KT 7SM OVC100 08/03 A3013,37.9,2011-01-01 09:53:00,Hyannis,10:30am,,Nantucket,9:30 am,On Time,High Speed Passenger Only
2011-01-01 11:00:00,1,1,2011,10,53,EST, 46.9,71.0,20.7,29.9,260.0,2.0,30.12,0.0,7.0,1.0,0.0,0.0,0.0, AO2 PK WND  25026/1547 SLP198 T00830033,KACK 011553Z 26018G26KT 7SM CLR 08/03 A3012,37.9,2011-01-01 10:53:00,Nantucket,12:00pm,,Hyannis,11:00 am,On Time,High Speed Passenger Only
2011-01-01 12:00:00,1,1,2011,11,53,EST, 46.9,68.0,18.4,0.0,250.0,2.0,30.09,0.0,8.0,1.0,0.0,0.0,0.0, AO2 SLP191  T00830028,KACK 011653Z 25016KT 8SM CLR 08/03 A3009,37.0,2011-01-01 11:53:00,Hyannis,2:15pm,,Nantucket,12:00 pm,On Time,Vehicle and Passenger
2011-01-01 12:30:00,1,1,2011,12,53,EST, 48.9,66.0,18.4,0.0,260.0,2.0,30.08,0.0,8.0,1.0,0.0,0.0,0.0, AO2 SLP187 T00940033  10100 20050 56015,KACK 011753Z 26016KT 8SM CLR 09/03 A3008,37.9,2011-01-01 12:53:00,Hyannis,1:30pm,,Nantucket,12:30 pm,On Time,High Speed Passenger Only
2011-01-01 13:55:00,1,1,2011,13,53,EST, 46.9,74.0,15.0,0.0,250.0,2.0,30.09,0.0,7.0,1.0,0.0,0.0,0.0, AO2 SLP188  T00830039,KACK 011853Z 25013KT 7SM CLR 08/04 A3009,39.0,2011-01-01 13:53:00,Nantucket,2:55pm,,Hyannis,1:55 pm,On Time,High Speed Passenger Only
2011-01-01 14:45:00,1,1,2011,14,53,EST, 46.9,71.0,15.0,0.0,240.0,2.0,30.08,0.0,9.0,1.0,0.0,0.0,0.0, AO2 SLP187  T00830033,KACK 011953Z 24013KT 9SM CLR 08/03 A3008,37.9,2011-01-01 14:53:00,Nantucket,5:00pm,,Hyannis,2:45 pm,On Time,Vehicle and Passenger
2011-01-01 15:15:00,1,1,2011,14,53,EST, 46.9,71.0,15.0,0.0,240.0,2.0,30.08,0.0,9.0,1.0,0.0,0.0,0.0, AO2 SLP187  T00830033,KACK 011953Z 24013KT 9SM CLR 08/03 A3008,37.9,2011-01-01 14:53:00,Hyannis,4:15pm,,Nantucket,3:15 pm,On Time,High Speed Passenger Only
2011-01-01 16:30:00,1,1,2011,16,53,EST, 42.1,89.0,10.4,0.0,230.0,2.0,30.09,0.0,7.0,1.0,0.0,0.0,0.0, AO2 SLP190  T00560039,KACK 012153Z 23009KT 7SM CLR 06/04 A3009,39.0,2011-01-01 16:53:00,Nantucket,5:30pm,,Hyannis,4:30 pm,On Time,High Speed Passenger Only
2011-01-01 17:30:00,1,1,2011,17,53,EST, 39.9,93.0,6.9,0.0,230.0,2.0,30.08,31.0,5.0,1.0,0.0,0.0,0.0, AO2 SLP187  T00440033,KACK 012253Z 23006KT 5SM BR CLR 04/03 A3008,37.9,2011-01-01 17:53:00,Hyannis,7:45pm,,Nantucket,5:30 pm,On Time,Vehicle and Passenger
2011-01-01 18:00:00,1,1,2011,17,53,EST, 39.9,93.0,6.9,0.0,230.0,2.0,30.08,31.0,5.0,1.0,0.0,0.0,0.0, AO2 SLP187  T00440033,KACK 012253Z 23006KT 5SM BR CLR 04/03 A3008,37.9,2011-01-01 17:53:00,Hyannis,7:00pm,,Nantucket,6:00 pm,On Time,High Speed Passenger Only
2011-01-01 20:00:00,1,1,2011,19,53,EST, 43.0,97.0,9.2,0.0,200.0,2.0,30.07,31.0,6.0,1.0,0.0,0.0,0.0, AO2 SLP182  T00610056,KACK 020053Z 20008KT 6SM BR CLR 06/06 A3007,42.1,2011-01-01 19:53:00,Nantucket,10:15pm,,Hyannis,8:00 pm,On Time,Vehicle and Passenger
2011-01-02 06:30:00,1,2,2011,6,35,EST, 46.4,100.0,15.0,0.0,230.0,2.0,29.94,31.0,2.0,22.0,144.0,0.0,1400.0, AO2  RAB05E31 P0000,KACK 021135Z 23013KT 2SM BR SCT002 OVC014 08/08 A2994,46.4,2011-01-02 06:35:00,Hyannis,8:45am,,Nantucket,6:30 am,On Time,Vehicle and Passenger
2011-01-02 08:00:00,1,2,2011,8,5,EST, 46.4,93.0,13.8,0.0,230.0,2.0,29.95,31.0,2.0,22.0,74.0,0.0,700.0, AO2,KACK 021305Z 23012KT 2SM BR SCT002 OVC007 08/07 A2995,44.6,2011-01-02 08:05:00,Nantucket,9:00am,,Hyannis,8:00 am,On Time,High Speed Passenger Only
2011-01-02 09:15:00,1,2,2011,8,53,EST, 46.0,96.0,13.8,0.0,240.0,2.0,29.95,31.0,1.5,44.0,0.0,0.0,400.0, AO2 SLP142  T00780072,KACK 021353Z 24012KT 1 1/2SM BR OVC004 08/07 A2995,45.0,2011-01-02 08:53:00,Nantucket,11:30am,,Hyannis,9:15 am,On Time,Vehicle and Passenger
2011-01-02 09:30:00,1,2,2011,9,53,EST, 48.0,96.0,15.0,0.0,250.0,2.0,29.95,31.0,1.0,24.0,0.0,0.0,200.0,  AO2 SLP142 T00890083 53001,KACK 021453Z 25013KT 1SM R24/3500V5500FT BR OVC002 09/08 A2995,46.9,2011-01-02 09:53:00,Hyannis,10:30am,,Nantucket,9:30 am,On Time,High Speed Passenger Only
2011-01-02 11:00:00,1,2,2011,10,53,EST, 46.0,100.0,12.7,0.0,250.0,2.0,29.93,9.0,0.25,0.0,0.0,0.0,0.0, AO2 RAB13E27 SLP136 P0000 T00780078,KACK 021553Z 25011KT 1/4SM R24/1200V1600FT FG VV001 08/08 A2993 ,46.0,2011-01-02 10:53:00,Nantucket,12:00pm,,Hyannis,11:00 am,On Time,High Speed Passenger Only
2011-01-02 12:00:00,1,2,2011,11,53,EST, 46.9,97.0,15.0,0.0,250.0,2.0,29.9,9.0,0.25,0.0,0.0,0.0,0.0, AO2 SLP126 T00830078,KACK 021653Z 25013KT 1/4SM R24/1200V1400FT FG VV001 08/08 A2990 ,46.0,2011-01-02 11:53:00,Hyannis,2:15pm,,Nantucket,12:00 pm,On Time,Vehicle and Passenger
2011-01-02 12:30:00,1,2,2011,12,40,EST, 46.4,100.0,12.7,0.0,270.0,2.0,29.88,9.0,0.5,14.0,0.0,0.0,100.0,  AO2,KACK 021740Z 27011KT 1/2SM R24/1800FT FG OVC001 08/08 A2988,46.4,2011-01-02 12:40:00,Hyannis,1:30pm,,Nantucket,12:30 pm,On Time,High Speed Passenger Only
2011-01-02 13:55:00,1,2,2011,13,53,EST, 46.9,93.0,6.9,0.0,260.0,2.0,29.86,0.0,8.0,36.0,433.0,0.0,4300.0, AO2 SLP112  T00830072,KACK 021853Z 26006KT 8SM FEW003 BKN043 08/07 A2986,45.0,2011-01-02 13:53:00,Nantucket,2:55pm,,Hyannis,1:55 pm,On Time,High Speed Passenger Only
2011-01-02 14:45:00,1,2,2011,14,53,EST, 46.9,93.0,3.5,0.0,220.0,2.0,29.85,0.0,10.0,506.0,802.0,1003.0,10000.0, AO2  SLP108 T00830072,KACK 021953Z 22003KT 10SM FEW050 SCT080 BKN100 08/07 A2985,45.0,2011-01-02 14:53:00,Nantucket,5:00pm,,Hyannis,2:45 pm,On Time,Vehicle and Passenger
2011-01-02 15:15:00,1,2,2011,14,53,EST, 46.9,93.0,3.5,0.0,220.0,2.0,29.85,0.0,10.0,506.0,802.0,1003.0,10000.0, AO2  SLP108 T00830072,KACK 021953Z 22003KT 10SM FEW050 SCT080 BKN100 08/07 A2985,45.0,2011-01-02 14:53:00,Hyannis,4:15pm,,Nantucket,3:15 pm,On Time,High Speed Passenger Only
2011-01-02 16:30:00,1,2,2011,16,12,EST, 42.8,93.0,8.1,0.0,280.0,2.0,29.85,31.0,3.0,14.0,0.0,0.0,100.0, AO2,KACK 022112Z 28007KT 3SM R24/6000VP6000FT BR OVC001 06/05 A2985 ,41.0,2011-01-02 16:12:00,Nantucket,5:30pm,,Hyannis,4:30 pm,On Time,High Speed Passenger Only
2011-01-02 17:30:00,1,2,2011,17,45,EST, 42.8,100.0,0.0,0.0,,2.0,29.82,31.0,2.5,504.0,0.0,0.0,5000.0, AO2,KACK 022245Z 00000KT 2 1/2SM BR OVC050 06/06 A2982,42.8,2011-01-02 17:45:00,Hyannis,7:45pm,,Nantucket,5:30 pm,On Time,Vehicle and Passenger
2011-01-02 18:00:00,1,2,2011,17,53,EST, 42.1,100.0,0.0,0.0,,2.0,29.82,31.0,2.5,504.0,0.0,0.0,5000.0, AO2 SLP099  T00560056,KACK 022253Z 00000KT 2 1/2SM BR OVC050 06/06 A2982,42.1,2011-01-02 17:53:00,Hyannis,7:00pm,,Nantucket,6:00 pm,On Time,High Speed Passenger Only
2011-01-02 20:00:00,1,2,2011,19,53,EST, 44.1,96.0,0.0,0.0,,2.0,29.76,2493.0,1.0,23.0,493.0,1104.0,200.0, AO2 RAE18B51 SLP078 P0000  T00670061,KACK 030053Z 00000KT 1SM R24/3500V5500FT -RA BR BKN002 BKN049  OVC110 07/06 A2976,43.0,2011-01-02 19:53:00,Nantucket,10:15pm,,Hyannis,8:00 pm,On Time,Vehicle and Passenger
2011-01-03 06:30:00,1,3,2011,6,53,EST, 30.9,58.0,21.9,31.1,320.0,2.0,29.93,0.0,10.0,1.0,0.0,0.0,0.0, AO2 PK WND  33032/1105 SLP136 70026 T10061078 10028 21006 53042,KACK 031153Z 32019G27KT 10SM CLR M01/M08 A2993,18.0,2011-01-03 06:53:00,Hyannis,8:45am,,Nantucket,6:30 am,On Time,Vehicle and Passenger
2011-01-03 09:15:00,1,3,2011,8,53,EST, 32.0,54.0,25.3,34.5,320.0,2.0,29.98,0.0,10.0,1.0,0.0,0.0,0.0, AO2 PK WND  32030/1353 SLP151 T00001083,KACK 031353Z 32022G30KT 10SM CLR 00/M08 A2998,17.1,2011-01-03 08:53:00,Nantucket,11:30am,,Hyannis,9:15 am,On Time,Vehicle and Passenger
2011-01-03 12:00:00,1,3,2011,11,53,EST, 34.0,47.0,19.6,26.5,300.0,2.0,29.98,0.0,10.0,1.0,0.0,0.0,0.0, AO2 SLP151  T00111089,KACK 031653Z 30017G23KT 10SM CLR 01/M09 A2998,16.0,2011-01-03 11:53:00,Hyannis,2:15pm,,Nantucket,12:00 pm,On Time,Vehicle and Passenger
2011-01-03 14:45:00,1,3,2011,14,53,EST, 34.0,41.0,16.1,23.0,290.0,2.0,29.99,0.0,10.0,1.0,0.0,0.0,0.0, AO2 SLP154  T00111106,KACK 031953Z 29014G20KT 10SM CLR 01/M11 A2999,12.9,2011-01-03 14:53:00,Nantucket,5:00pm,,Hyannis,2:45 pm,On Time,Vehicle and Passenger
2011-01-03 17:30:00,1,3,2011,17,53,EST, 30.9,47.0,9.2,0.0,280.0,2.0,30.04,0.0,10.0,1.0,0.0,0.0,0.0, AO2 SLP172  T10061106,KACK 032253Z 28008KT 10SM CLR M01/M11 A3004,12.9,2011-01-03 17:53:00,Hyannis,7:45pm,,Nantucket,5:30 pm,On Time,Vehicle and Passenger
2011-01-03 20:00:00,1,3,2011,19,53,EST, 32.0,45.0,13.8,0.0,300.0,2.0,30.06,0.0,10.0,1.0,0.0,0.0,0.0, AO2 SLP178  T00001106,KACK 040053Z 30012KT 10SM CLR 00/M11 A3006,12.9,2011-01-03 19:53:00,Nantucket,10:15pm,,Hyannis,8:00 pm,On Time,Vehicle and Passenger
